id,date,location,opponent,vt_score,opp_score
2026-09-25-william-mary,2026-09-25,Home,William & Mary,TBD,TBD
2026-09-26-william-mary,2026-09-26,Home,William & Mary,TBD,TBD
2026-10-02-app-state,2026-10-02,Home,App State,TBD,TBD
2026-10-03-app-state,2026-10-03,Away,App State,TBD,TBD
2026-10-09-wake-forest,2026-10-09,Away,Wake Forest,TBD,TBD
2026-10-10-wake-forest,2026-10-10,Away,Wake Forest,TBD,TBD
2026-10-16-james-madison,2026-10-16,Home,James Madison,TBD,TBD
2026-10-17-james-madison,2026-10-17,Home,James Madison,TBD,TBD
2026-10-23-high-point,2026-10-23,Away,High Point,TBD,TBD
2026-10-24-high-point,2026-10-24,Away,High Point,TBD,TBD
2026-12-04-west-virginia,2026-12-04,Home,West Virginia,TBD,TBD
2026-12-05-west-virginia,2026-12-05,Home,West Virginia,TBD,TBD
2027-01-22-tbd,2027-01-22,Home,TBD,TBD,TBD
2027-01-23-tbd,2027-01-23,Home,TBD,TBD,TBD
2027-01-29-loyola-maryland,2027-01-29,Away,Loyola Maryland,TBD,TBD
2027-01-30-loyola-maryland,2027-01-30,Away,Loyola Maryland,TBD,TBD
2027-02-05-catholic,2027-02-05,Away,Catholic,TBD,TBD
2027-02-06-catholic,2027-02-06,Away,Catholic,TBD,TBD
2027-02-12-tbd,2027-02-12,Home,TBD,TBD,TBD
