group,number,name,year,height,weight,shot,hometown
forwards,4,Brody Nyitrai,Sophomore,,,,"Williamsville, NY"
forwards,7,Taizo Cesari,Freshman,,,,"Blacksburg, VA"
forwards,8,Colin Coakley,Junior,,,,"Cranford, NJ"
forwards,10,Mason Skarka,Sophomore,,,,"Leesburg, VA"
forwards,11,Austin Hryn,Junior,,,,"Cary, NC"
forwards,12,Joel Vizard,Sophomore,,,,"Arlington, VA"
forwards,13,Victor Doucet,Freshman,,,,"Wayne, PA"
forwards,14,Grayson Winkler,Junior,,,,"Olney, MD"
forwards,17,Lester Benitez,Sophomore,,,,"Silver Spring, MD"
forwards,18,Colm Mulhall,Sophomore,,,,"Milton, MA"
forwards,19,Jackson Benward,Junior,,,,"New Providence, NJ"
forwards,22,Ryan Degnan,Freshman,,,,"Falls Church, VA"
forwards,23,Christopher Kube,5th,,,,"Cranford, NJ"
forwards,25,Joseph Piccolo,Freshman,,,,"Stafford, VA"
forwards,27,Tyler Ng,Freshman,,,,"Floral Park, NY"
forwards,28,Adam Turski,Sophomore,,,,"Blacksburg, VA"
defensemen,2,Caelan Rea,Junior,,,,"Waxhaw, NC"
defensemen,3,Alexander Yellin,Freshman,,,,"McLean, VA"
defensemen,5,Tyler Simo,Sophomore,,,,"West Greenwich, RI"
defensemen,6,Sam Hosier,Freshman,,,,"Blacksburg, VA"
defensemen,9,Nicholas Frantz,Senior,,,,"Manassas, VA"
defensemen,16,Thijs Bakker,Junior,,,,"Arlington, VA"
defensemen,20,Logan Pearle,Freshman,,,,"Stamford, CT"
defensemen,21,Dean Hryn,Senior,,,,"Cary, NC"
defensemen,24,Brandon Anderson,Junior,,,,"Middletown, NY"
defensemen,26,Alex Mallios,Freshman,,,,"Manhasset, NY"
goalies,30,Dante Dilegge,Sophomore,,,,"Branford, CT"
goalies,31,Liam Conry,Sophomore,,,,"Brooklyn, NY"
goalies,32,Matt Kohlhepp,Freshman,,,,"Doylestown, PA"
