#,Player,Pos,GP,G,A,PTS,Pt/G,PPG,SHG,GWG,W,PIM
2,Caelan Rea,D,--,--,--,--,--,--,--,--,--,--
3,Alexander Yellin,F,--,--,--,--,--,--,--,--,--,--
4,Brody Nyitrai,D,--,--,--,--,--,--,--,--,--,--
5,Tyler Simo,D,--,--,--,--,--,--,--,--,--,--
6,Sam Hosier,F,--,--,--,--,--,--,--,--,--,--
7,Taizo Cesari,F,--,--,--,--,--,--,--,--,--,--
8,Colin Coakley,F,--,--,--,--,--,--,--,--,--,--
9,Nicholas Frantz,D,--,--,--,--,--,--,--,--,--,--
10,Mason Skarka,D,--,--,--,--,--,--,--,--,--,--
11,Austin Hryn,F,--,--,--,--,--,--,--,--,--,--
12,Joel Vizard,D,--,--,--,--,--,--,--,--,--,--
13,Victor Doucet,F,--,--,--,--,--,--,--,--,--,--
14,Grayson Winkler,F,--,--,--,--,--,--,--,--,--,--
16,Thijs Bakker,F,--,--,--,--,--,--,--,--,--,--
17,Lester Benitez,D,--,--,--,--,--,--,--,--,--,--
18,Colm Mulhall,F,--,--,--,--,--,--,--,--,--,--
19,Jackson Benward,F,--,--,--,--,--,--,--,--,--,--
20,Logan Pearle,F,--,--,--,--,--,--,--,--,--,--
21,Dean Hryn,F,--,--,--,--,--,--,--,--,--,--
22,Ryan Degnan,F,--,--,--,--,--,--,--,--,--,--
23,Christopher Kube,D,--,--,--,--,--,--,--,--,--,--
24,Brandon Anderson,F,--,--,--,--,--,--,--,--,--,--
25,Joseph Piccolo,D,--,--,--,--,--,--,--,--,--,--
26,Alex Mallios,D,--,--,--,--,--,--,--,--,--,--
27,Tyler Ng,D,--,--,--,--,--,--,--,--,--,--
28,Adam Turski,F,--,--,--,--,--,--,--,--,--,--
