id,date,location,opponent,vt_score,opp_score
2026-09-11-nc-state,9/11/26,Away,NC State D1,2,4
2026-09-12-unc,9/12/26,Away,UNC D1,6,4
2026-09-18-lindenwood,9/18/26,Away,Lindenwood,3,6
2026-09-19-siena,9/19/26,Away,Siena,TBD,TBD
2026-09-20-weber-state,9/20/26,Away,Weber State,TBD,TBD
2026-09-25-liberty,9/25/26,Away,Liberty,TBD,TBD
2026-09-26-liberty,9/26/26,Home,Liberty,TBD,TBD
2026-10-09-wake-forest,10/9/26,Away,Wake Forest,TBD,TBD
2026-10-10-wake-forest,10/10/26,Away,Wake Forest,TBD,TBD
2026-10-16-uncw,10/16/26,Home,UNCW,TBD,TBD
2026-10-17-uncw,10/17/26,Home,UNCW,TBD,TBD
2026-10-23-hpu,10/23/26,Away,HPU,TBD,TBD
2026-10-24-hpu,10/24/26,Away,HPU,TBD,TBD
2026-10-30-liberty-d1,10/30/26,Away,Liberty D1,TBD,TBD
2026-11-06-fall-classic,11/6/26,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-07-fall-classic,11/7/26,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-08-fall-classic,11/8/26,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-13-liberty,11/13/26,Away,Liberty,TBD,TBD
2026-11-14-liberty,11/14/26,Home,Liberty,TBD,TBD
2026-11-20-south-carolina,11/20/26,Neutral,South Carolina,TBD,TBD
2026-12-04-wvu,12/4/26,Home,WVU,TBD,TBD
2026-12-05-wvu,12/5/26,Home,WVU,TBD,TBD
2027-01-15-ohio,1/15/27,Home,Ohio,TBD,TBD
2027-01-16-ohio,1/16/27,Home,Ohio,TBD,TBD
2027-01-29-miami-oh,1/29/27,Home,Miami (OH),TBD,TBD
2027-02-05-maryland,2/5/27,Home,Maryland,TBD,TBD
2027-02-06-maryland,2/6/27,Home,Maryland,TBD,TBD
2027-02-12-acchl-playoffs,2/12/27,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-13-acchl-playoffs,2/13/27,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-14-acchl-playoffs,2/14/27,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-19-acha-regionals,2/19/27,Neutral,ACHA SE Regionals,TBD,TBD
2027-02-20-acha-regionals,2/20/27,Neutral,ACHA SE Regionals,TBD,TBD
