id,date,location,opponent,vt_score,opp_score
2026-09-11-nc-state,2026-09-11,Away,NC State D1,TBD,TBD
2026-09-12-unc,2026-09-12,Away,UNC D1,TBD,TBD
2026-09-18-lindenwood,2026-09-18,Away,Lindenwood,TBD,TBD
2026-09-19-siena,2026-09-19,Away,Siena,TBD,TBD
2026-09-20-weber-state,2026-09-20,Away,Weber State,TBD,TBD
2026-09-25-liberty,2026-09-25,Away,Liberty,TBD,TBD
2026-09-26-liberty,2026-09-26,Home,Liberty,TBD,TBD
2026-10-09-wake-forest,2026-10-09,Away,Wake Forest,TBD,TBD
2026-10-10-wake-forest,2026-10-10,Away,Wake Forest,TBD,TBD
2026-10-16-uncw,2026-10-16,Home,UNCW,TBD,TBD
2026-10-17-uncw,2026-10-17,Home,UNCW,TBD,TBD
2026-10-23-hpu,2026-10-23,Away,HPU,TBD,TBD
2026-10-24-hpu,2026-10-24,Away,HPU,TBD,TBD
2026-10-30-liberty-d1,2026-10-30,Away,Liberty D1,TBD,TBD
2026-11-06-fall-classic,2026-11-06,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-07-fall-classic,2026-11-07,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-08-fall-classic,2026-11-08,Neutral,ACCHL Fall Classic,TBD,TBD
2026-11-13-liberty,2026-11-13,Away,Liberty,TBD,TBD
2026-11-14-liberty,2026-11-14,Home,Liberty,TBD,TBD
2026-11-20-south-carolina,2026-11-20,Neutral,South Carolina,TBD,TBD
2026-12-04-wvu,2026-12-04,Home,WVU,TBD,TBD
2026-12-05-wvu,2026-12-05,Home,WVU,TBD,TBD
2027-01-15-ohio,2027-01-15,Home,Ohio,TBD,TBD
2027-01-16-ohio,2027-01-16,Home,Ohio,TBD,TBD
2027-01-29-miami-oh,2027-01-29,Home,"Miami (OH)",TBD,TBD
2027-02-05-maryland,2027-02-05,Home,Maryland,TBD,TBD
2027-02-06-maryland,2027-02-06,Home,Maryland,TBD,TBD
2027-02-12-acchl-playoffs,2027-02-12,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-13-acchl-playoffs,2027-02-13,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-14-acchl-playoffs,2027-02-14,Neutral,ACCHL Playoffs,TBD,TBD
2027-02-19-acha-regionals,2027-02-19,Neutral,ACHA SE Regionals,TBD,TBD
2027-02-20-acha-regionals,2027-02-20,Neutral,ACHA SE Regionals,TBD,TBD
