#,Player,Pos,GP,G,A,PTS,Pt/G,PPG,SHG,GWG,SOGW,PIM
2,Bryan Rice,D,5,3,--,3,0.6,2,--,--,--,6
3,Ethan Garlock,F,5,4,2,6,1.2,--,--,1,--,6
6,Justin D'Antona,F,4,--,--,--,--,--,--,--,--,2
7,JH Lages,D,4,1,5,6,1.5,--,--,--,--,--
8,Cooper Reger,F,2,--,--,--,--,--,--,--,--,--
9,Sean Mohr,D,1,--,1,1,1,--,--,--,--,--
10,Zack Stewart,F,5,1,--,1,0.2,--,--,--,--,--
11,Michael McCabe,F,5,4,2,6,1.2,1,--,--,--,21
13,Murphy MacLeod,D,5,--,--,--,--,--,--,--,--,--
14,Barrett Lunder,F,1,--,--,--,--,--,--,--,--,--
15,Tyler Gordon,F,5,1,1,2,0.4,--,--,--,--,--
16,Jacob Wachtel,F,2,1,--,1,0.5,--,--,--,--,--
18,Casey Reagan,D,4,0,2,2,0.5,--,--,--,--,15
19,Hunter Day,D,4,--,1,1,0.25,--,--,--,--,2
20,Tyler Skarka,D,2,--,--,--,--,--,--,--,--,--
21,Gavin Nau,F,5,0,3,3,0.6,--,--,--,--,4
22,Max Sullivan,D,4,--,--,--,--,--,--,--,--,15
24,West Vaillant,F,3,1,--,1,0.33,--,--,1,--,--
25,Billy Linardakis,D,2,--,--,--,--,--,--,--,--,--
26,Chase Olszewski,F,5,1,--,1,0.2,--,--,--,--,4
27,Dhruv Thakare,D,5,--,1,1,0.2,--,--,--,--,2
29,Marshall Campbell,F,3,--,1,1,0.33,--,--,--,--,--
40,Jackson DeVivo,F,4,1,--,1,0.25,--,--,--,--,21
41,Kam Khazai,F,5,1,5,6,1.2,--,--,--,--,6
42,Ewan Andrew,F,5,1,--,1,0.2,--,--,--,--,--
