#,Player,Pos,GP,G,A,PTS,Pt/G,PPG,SHG,GWG,SOGW,PIM
2,Bryan Rice,D,6,3,0,3,0.5,2,0,0,0,6
3,Ethan Garlock,F,6,4,2,6,1,0,0,1,0,6
6,Justin D'Antona,F,4,0,0,0,0,0,0,0,0,2
7,JH Lages,D,5,1,5,6,1.2,0,0,0,0,0
8,Cooper Reger,F,3,0,0,0,0,0,0,0,0,0
9,Sean Mohr,D,1,0,1,1,1,0,0,0,0,0
10,Zack Stewart,F,6,1,0,1,0.17,0,0,0,0,0
11,Michael McCabe,F,6,4,2,6,1,1,0,0,0,21
13,Murphy MacLeod,D,6,0,0,0,0,0,0,0,0,0
14,Barrett Lunder,F,1,0,0,0,0,0,0,0,0,0
15,Tyler Gordon,F,6,1,1,2,0.33,0,0,0,0,0
16,Jacob Wachtel,F,3,1,0,1,0.33,0,0,0,0,0
18,Casey Reagan,D,4,0,2,2,0.5,0,0,0,0,15
19,Hunter Day,D,5,0,1,1,0.2,0,0,0,0,2
20,Tyler Skarka,D,2,0,0,0,0,0,0,0,0,0
21,Gavin Nau,F,6,0,3,3,0.5,0,0,0,0,4
22,Max Sullivan,D,5,0,0,0,0,0,0,0,0,17
24,West Vaillant,F,4,1,0,1,0.25,0,0,1,0,0
25,Billy Linardakis,D,3,0,0,0,0,0,0,0,0,0
26,Chase Olszewski,F,6,2,0,2,0.33,0,0,0,0,4
27,Dhruv Thakare,D,6,0,2,2,0.33,0,0,0,0,6
29,Marshall Campbell,F,3,0,1,1,0.33,0,0,0,0,0
40,Jackson DeVivo,F,5,1,0,1,0.2,0,0,0,0,21
41,Kam Khazai,F,6,1,5,6,1,0,0,0,0,6
42,Ewan Andrew,F,6,1,1,2,0.33,0,0,0,0,0
