#,Player,Pos,GP,G,A,PTS,Pt/G,PPG,SHG,GWG,SOG,W,PIM,SH%
2,Bryan Rice,D,--,--,--,--,--,--,--,--,--,--,--,--,--
3,Ethan Garlock,F,--,--,--,--,--,--,--,--,--,--,--,--,--
6,Justin D'Antona,F,--,--,--,--,--,--,--,--,--,--,--,--,--
7,Jackson Lages,D,--,--,--,--,--,--,--,--,--,--,--,--,--
8,Cooper Reger,F,--,--,--,--,--,--,--,--,--,--,--,--,--
9,Sean Mohr,D,--,--,--,--,--,--,--,--,--,--,--,--,--
10,Zack Stewart,F,--,--,--,--,--,--,--,--,--,--,--,--,--
11,Michael McCabe,F,--,--,--,--,--,--,--,--,--,--,--,--,--
13,Murphy MacLeod,D,--,--,--,--,--,--,--,--,--,--,--,--,--
14,Barrett Lunder,F,--,--,--,--,--,--,--,--,--,--,--,--,--
15,Tyler Gordon,F,--,--,--,--,--,--,--,--,--,--,--,--,--
16,Jacob Wachtel,F,--,--,--,--,--,--,--,--,--,--,--,--,--
18,Casey Reagan,D,--,--,--,--,--,--,--,--,--,--,--,--,--
19,Hunter Day,D,--,--,--,--,--,--,--,--,--,--,--,--,--
20,Tyler Skarka,D,--,--,--,--,--,--,--,--,--,--,--,--,--
21,Gavin Nau,F,--,--,--,--,--,--,--,--,--,--,--,--,--
22,Max Sullivan,D,--,--,--,--,--,--,--,--,--,--,--,--,--
24,West Vaillant,F,--,--,--,--,--,--,--,--,--,--,--,--,--
25,William Linardakis,D,--,--,--,--,--,--,--,--,--,--,--,--,--
26,Chase Olszewski,F,--,--,--,--,--,--,--,--,--,--,--,--,--
27,Dhruv Thakare,D,--,--,--,--,--,--,--,--,--,--,--,--,--
40,Jackson DeVivo,F,--,--,--,--,--,--,--,--,--,--,--,--,--
41,Kam Khazai,F,--,--,--,--,--,--,--,--,--,--,--,--,--
42,Ewan Andrew,F,--,--,--,--,--,--,--,--,--,--,--,--,--
